Fauna,Credit,Twitter,Page,Direction,Family
Velociraptor,Rebecca Groom,,http://phylopic.org/image/cf3a5398-3946-4261-803c-1838d92eaeb9/,L,
Paradoxurinae,Renata F. Martins,,http://phylopic.org/image/ada8aff8-ef42-48d6-8d90-099d95f0cf39/,R,
Hyaenodon,Robert Bruce Horsfall,,http://phylopic.org/image/8e3178f8-8171-4b2d-90cc-9b2dce76bdf8/,L,
Menoceras,"Robert Bruce Horsfall, vectorized by Zimices",,http://phylopic.org/image/5bceef50-97af-4846-9c8f-faea38d00257/,R,
Dilophosaurus,Robert Gay,paleorob,http://phylopic.org/image/72c81af2-b4c1-4dd7-855d-4b38b4ec5ddd/,L,
Dilophosaurus wetherilli,Robert Gay,paleorob,http://phylopic.org/image/cbf3da38-ac71-48a5-b455-23c822c22e9a/,L,
Mymoorapelta,Robert Gay,paleorob,http://phylopic.org/image/16119d33-89ee-4c7a-ab16-9841ff1bda67/,R,Dinosaur
Vulcanodon,Roberto Diaz Sibaja,,http://phylopic.org/image/8f7c165f-3561-4dad-afe7-0af5faa5a66f/,R,Dinosaur
Eoceratops,Sampson SD,,http://phylopic.org/image/8bfd27f7-e308-4eef-aace-192e6a627f93/,L,Ceratopsian
Kosmoceratops,Sampson SD,,http://phylopic.org/image/738bb8b2-8fbc-4b9b-82a4-cc67bbf69a57/,R,Ceratopsian
Shuvosaurus,Sarah Werning,,http://phylopic.org/image/443f883d-487c-4e31-a8da-ad2c31e45040/,L,
Simosuchus,Sarah Werning,,http://phylopic.org/image/8fe8d139-9414-4e8b-b0fd-582047fe216d/,L,Crocodyliform
Carcharocles megalodon,Scarlet23 (vectorized by T. Michael Keesey),tmkeesey,http://phylopic.org/image/993d4e41-51b3-4c59-a4ad-b3dbd482968e/,L,Shark
Allosaurus,Scott Hartman,skeletaldrawing,http://phylopic.org/image/a3fe8af3-8bcf-469a-b3d8-08bc0f071c98/,L,
Ankylopollexia,Scott Hartman,skeletaldrawing,http://phylopic.org/image/a97ee226-fed8-4431-a008-15a6cccf98bd/,L,
Archaeopteryx,Scott Hartman,skeletaldrawing,http://phylopic.org/image/5b18bbbd-516e-40ba-8f2a-3e77aad72230/,L,
Cristatusaurus,Scott Hartman,skeletaldrawing,http://phylopic.org/image/909b5f69-8e28-4b9b-81cf-c86addbfd096/,L,
Dimetrodon,Scott Hartman,skeletaldrawing,http://phylopic.org/image/ee7f1c8c-c98d-4611-aa4e-c112e86782e6/,L,
Dunkleosteus,Scott Hartman,skeletaldrawing,http://phylopic.org/image/25599138-d35f-4c72-9c2f-800749cedf74/,L,
Edmontonia,Scott Hartman,skeletaldrawing,http://phylopic.org/image/af64af4c-5a03-4218-b9fe-440253fd51ae/,L,
Eocursor,Scott Hartman,skeletaldrawing,http://phylopic.org/image/49ef6b14-7434-465c-8c54-d27d5b7af574/,L,
Gallimimus,Scott Hartman,skeletaldrawing,http://phylopic.org/image/38a46979-091e-427d-9ebc-712305e87475/,L,
Gryposaurus,Scott Hartman,skeletaldrawing,http://phylopic.org/image/4ae90b8f-bbb4-47cd-a914-98e1c845cf1e/,L,
